Timestamp (ms),Temperature (°C)
1849689.0,48.29
1849995.0,48.28
1850301.0,48.29
1850607.0,48.28
1850913.0,48.28
1851219.0,48.28
1851525.0,48.28
1851831.0,48.28
1852137.0,48.27
1852443.0,48.27
1852749.0,48.27
1853055.0,48.28
1853361.0,48.27
1853667.0,48.27
1853973.0,48.27
1854279.0,48.26
1854585.0,48.26
1854891.0,48.26
1855197.0,48.25
1855503.0,48.25
1855809.0,48.25
1856115.0,48.26
1856421.0,48.25
1856727.0,48.24
1857033.0,48.25
1857339.0,48.24
1857645.0,48.25
1857951.0,48.25
1858257.0,48.25
1858563.0,48.24
1858869.0,48.25
1859175.0,48.26
1859481.0,48.25
1859787.0,48.26
1860093.0,48.25
1860399.0,48.26
1860705.0,48.25
1861011.0,48.25
1861317.0,48.25
1861623.0,48.25
1861929.0,48.25
1862235.0,48.25
1862541.0,48.26
1862847.0,48.25
1863153.0,48.26
1863459.0,48.26
1863765.0,48.26
1864071.0,48.26
1864377.0,48.26
1864683.0,48.26
1864989.0,48.26
1865295.0,48.26
1865601.0,48.27
1865907.0,48.27
1866213.0,48.26
1866519.0,48.26
1866825.0,48.27
1867131.0,48.27
1867437.0,48.28
1867743.0,48.28
1868049.0,48.28
1868355.0,48.29
1868661.0,48.28
1868967.0,48.28
1869273.0,48.28
1869579.0,48.28
1869885.0,48.28
1870191.0,48.3
1870497.0,48.3
1870803.0,48.29
1871109.0,48.3
1871415.0,48.3
1871721.0,48.3
1872027.0,48.29
1872333.0,48.29
1872639.0,48.29
1872945.0,48.31
1873251.0,48.31
1873557.0,48.32
1873863.0,48.32
1874169.0,48.3
1874475.0,48.31
1874781.0,48.31
1875087.0,48.32
1875393.0,48.31
1875699.0,48.33
1876005.0,48.31
1876311.0,48.32
1876617.0,48.32
1876923.0,48.32
1877229.0,48.32
1877535.0,48.33
1877841.0,48.32
1878147.0,48.32
1878453.0,48.33
1878759.0,48.33
1879065.0,48.34
1879371.0,48.34
1879677.0,48.34
1879983.0,48.35
1880289.0,48.33
1880595.0,48.33
1880901.0,48.33
1881207.0,48.32
1881513.0,48.33
1881819.0,48.33
1882125.0,48.32
1882431.0,48.32
1882737.0,48.33
1883043.0,48.34
1883349.0,48.33
1883655.0,48.33
1883961.0,48.33
1884267.0,48.34
1884573.0,48.33
1884879.0,48.34
1885185.0,48.34
1885491.0,48.34
1885797.0,48.35
1886103.0,48.35
1886409.0,48.36
1886715.0,48.35
1887021.0,48.36
1887327.0,48.36
1887633.0,48.35
1887939.0,48.37
1888245.0,48.36
1888551.0,48.36
1888857.0,48.36
1889163.0,48.37
1889469.0,48.37
1889775.0,48.37
1890081.0,48.38
1890387.0,48.39
1890693.0,48.39
1890999.0,48.39
1891305.0,48.39
1891611.0,48.39
1891917.0,48.4
1892223.0,48.39
1892529.0,48.4
1892835.0,48.39
1893141.0,48.39
1893447.0,48.39
1893753.0,48.4
1894059.0,48.39
1894365.0,48.4
1894671.0,48.39
1894977.0,48.38
1895283.0,48.4
1895589.0,48.4
1895895.0,48.4
1896201.0,48.4
1896507.0,48.4
1896813.0,48.39
1897119.0,48.39
1897425.0,48.4
1897731.0,48.41
1898037.0,48.4
1898343.0,48.41
1898649.0,48.41
1898955.0,48.42
1899261.0,48.4
1899567.0,48.42
1899873.0,48.41
1900179.0,48.41
1900485.0,48.42
1900791.0,48.41
1901097.0,48.42
1901403.0,48.41
1901709.0,48.42
1902015.0,48.42
1902321.0,48.42
1902627.0,48.42
1902933.0,48.43
1903239.0,48.42
1903545.0,48.43
1903851.0,48.43
1904157.0,48.43
1904463.0,48.43
1904769.0,48.42
1905075.0,48.43
1905381.0,48.43
1905687.0,48.44
1905993.0,48.43
1906299.0,48.43
1906605.0,48.44
1906911.0,48.44
1907217.0,48.44
1907523.0,48.44
1907829.0,48.44
1908135.0,48.45
1908441.0,48.44
1908747.0,48.45
1909053.0,48.45
1909359.0,48.46
1909665.0,48.46
1909971.0,48.45
1910277.0,48.46
1910583.0,48.46
1910889.0,48.47
1911195.0,48.46
1911501.0,48.46
1911807.0,48.46
1912113.0,48.47
1912419.0,48.46
1912725.0,48.46
1913031.0,48.46
1913337.0,48.46
1913643.0,48.46
1913949.0,48.45
1914255.0,48.46
1914561.0,48.45
1914867.0,48.46
1915173.0,48.45
1915479.0,48.46
1915785.0,48.45
1916091.0,48.46
1916397.0,48.46
1916703.0,48.46
1917009.0,48.46
1917315.0,48.46
1917621.0,48.46
1917927.0,48.46
1918233.0,48.45
1918539.0,48.46
1918845.0,48.47
